key,flightNumber,scheduledDeparture,scheduledArrival,status,key:departureAirport,key:arrivalAirport,key:aircraft,key:manager
leg-01,AAA0000,2025/05/01 14:30,2025/05/01 16:00,CANCELLED,airport-01,airport-02,aircraft-01,manager-01
leg-02,ZZZ9999,2025/06/10 08:00,2025/06/10 10:15,CANCELLED,airport-01,airport-02,aircraft-01,manager-01
leg-03,ABC1234,2025/07/20 18:00,2025/07/20 19:45,CANCELLED,airport-01,airport-02,aircraft-01,manager-01
leg-04,ABC1235,2015/03/09 15:18,2015/03/09 16:18,CANCELLED,airport-01,airport-02,aircraft-01,manager-01
leg-05,ABC1236,2015/03/09 15:19,2015/03/09 16:19,CANCELLED,airport-01,airport-02,aircraft-01,manager-01
leg-06,ABC1237,2200/12/31 22:59,2200/12/31 23:59,CANCELLED,airport-01,airport-02,aircraft-01,manager-01
leg-07,ABC1239,2028/02/29 12:00,2028/02/29 13:00,CANCELLED,airport-01,airport-02,aircraft-01,manager-01
leg-08,ABC2234,2025/07/20 18:00,2025/07/20 19:45,ON_TIME,airport-01,airport-02,aircraft-01,manager-01
leg-09,ABC3234,2025/07/20 18:00,2025/07/20 19:45,DELAYED,airport-01,airport-02,aircraft-01,manager-01
leg-10,ABC4234,2025/07/20 18:00,2025/07/20 19:45,LANDED,airport-01,airport-02,aircraft-01,manager-01
