key,tag,requiresSelfTransfer,cost,description,key:manager,draftMode
flight-01,FL123,true,EUR 10.0,Flight from city A to city B,manager-01,true
flight-02,Lorem ipsum dolor sit ame,true,EUR 10.0,Flight from city A to city B,manager-01,true
flight-03,L,true,EUR 10.0,Flight from city A to city B,manager-01,true
flight-04,Lo,true,EUR 10.0,Flight from city A to city B,manager-01,true
flight-05,"Lorem ipsum dolor sit amet consectetur adipiscin",true,EUR 10.0,Flight from city A to city B,manager-01,true
flight-06,"Lorem ipsum dolor sit amet consectetur adipiscing",true,EUR 10.0,Flight from city A to city B,manager-01,true
flight-07,โลเร็ม อิปซัม,true,EUR 10.0,Flight from city A to city B,manager-01,true
flight-08,لوريم إيبسوم,true,EUR 10.0,Flight from city A to city B,manager-01,true
flight-09,洛伦·伊普森,true,EUR 10.0,Flight from city A to city B,manager-01,true
flight-10,<marquee>Hacked</marquee>,true,EUR 10.0,Flight from city A to city B,manager-01,true
flight-11,<script>alert(‘Hacked!’);</script>,true,EUR 10.0,Flight from city A to city B,manager-01,true
flight-12,' or 'A' = 'A,true,EUR 10.0,Flight from city A to city B,manager-01,true
flight-13,FL123,false,EUR 10.0,Flight from city A to city B,manager-01,true
flight-14,FL123,true,EUR 500000.00,Flight from city A to city B,manager-01,true
flight-15,FL123,true,EUR 0.00,Flight from city A to city B,manager-01,true
flight-16,FL123,true,EUR 999999.99,Flight from city A to city B,manager-01,true
flight-17,FL123,true,EUR 1000000.00,Flight from city A to city B,manager-01,true
flight-18,FL123,true,YEN 10.0,Flight from city A to city B,manager-01,true
flight-19,FL123,true,BTC 10.0,Flight from city A to city B,manager-01,true
flight-20,FL123,true,EUR 10.0,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,manager-01,true
flight-21,FL123,true,EUR 10.0,L,manager-01,true
flight-22,FL123,true,EUR 10.0,Lo,manager-01,true
flight-23,FL123,true,EUR 10.0,Lorem ipsum dolor sit amet	 consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor,manager-01,true
flight-24,FL123,true,EUR 10.0,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*,manager-01,true
flight-25,FL123,true,EUR 10.0,โลเร็ม อิปซัม,manager-01,true
flight-26,FL123,true,EUR 10.0,洛伦·伊普森,manager-01,true
flight-27,FL123,true,EUR 10.0,<marquee>Hacked</marquee>,manager-01,true
flight-28,FL123,true,EUR 10.0,<script>alert(‘Hacked!’);</script>,manager-01,true
flight-29,FL123,true,EUR 10.0,' or 'A' = 'A,manager-01,true
flight-30,FL123,true,EUR 10.0,' or 'A' = 'A,manager-01,false
