key,type,description,priority,estimatedDuration,draft-mode,key:technician
task-001,SYSTEM_CHECK,A,0,0.01,TRUE,technician-01
task-002,INSPECTION,A,1,0.1,TRUE,technician-02
task-003,MAINTENANCE,A,2,0.5,TRUE,technician-01
task-004,REPAIR,A,3,1.0,TRUE,technician-02
task-005,SYSTEM_CHECK,A,4,2.0,TRUE,technician-01
task-006,INSPECTION,A,5,3.5,TRUE,technician-02
task-007,MAINTENANCE,A,6,5.0,TRUE,technician-01
task-008,REPAIR,A,7,7.5,TRUE,technician-02
task-009,SYSTEM_CHECK,A,8,10.0,TRUE,technician-01
task-010,INSPECTION,A,9,15.0,TRUE,technician-02
task-011,SYSTEM_CHECK,ABCDEFGHIJ,0,0.01,TRUE,technician-01
task-012,INSPECTION,1234567890,1,0.1,TRUE,technician-02
task-013,MAINTENANCE,!@#$%^&*(),2,0.5,TRUE,technician-01
task-014,REPAIR,QWERTYUIOP,3,1.0,TRUE,technician-02
task-015,SYSTEM_CHECK,ZXCVBNMASD,4,2.0,TRUE,technician-01
task-016,INSPECTION,0987654321,5,3.5,TRUE,technician-02
task-017,MAINTENANCE,HELLO-WORLD,6,5.0,TRUE,technician-01
task-018,REPAIR,TECHNICIAN,7,7.5,TRUE,technician-02
task-019,SYSTEM_CHECK,TEST1234567,8,10.0,TRUE,technician-01
task-020,INSPECTION,ABCDEFGHIJ,9,15.0,TRUE,technician-02
task-021,SYSTEM_CHECK,This is a description with exactly 50 characters long.,0,0.01,TRUE,technician-01
task-022,INSPECTION,مرحبا بك في هذا النص التجريبي الذي يحتوي على خمسين حرفًا!,1,0.1,TRUE,technician-02
task-023,MAINTENANCE,ABCDEFGHIJKLMNOPQRSTUVWXYZ1234567890!@#$%^&*(),2,0.5,TRUE,technician-01
task-024,REPAIR,Lorem ipsum dolor sit amet consectetur adipiscing.,3,1.0,TRUE,technician-02
task-025,SYSTEM_CHECK,检查数据库的存储能力以验证文本输入长度。,4,2.0,TRUE,technician-01
task-026,INSPECTION,ضمان عدم حدوث اقتطاع للنصوص في قواعد البيانات.,5,3.5,TRUE,technician-02
task-027,MAINTENANCE,تجربة التعامل مع الحقول النصية في بيئة منظمة.,6,5.0,TRUE,technician-01
task-028,REPAIR,Edge case validation with proper storage verification.,7,7.5,TRUE,technician-02
task-029,SYSTEM_CHECK,اختبار الحد الأقصى للحروف لضمان سعة التخزين.,8,10.0,TRUE,technician-01
task-030,INSPECTION,结构化数据环境中的文本字段处理测试。,9,15.0,TRUE,technician-02
task-031,SYSTEM_CHECK,This is a description that contains exactly one hundred characters to test proper database storage.,5,5.0,TRUE,technician-01
