key,type,description,priority,estimatedDuration,key:technician,key:maintenanceRecord
task-001,SYSTEM_CHECK,This is a description with exactly 50 characters long.,0,10.0,technician-02,maintenance-001
task-002,SYSTEM_CHECK,Short description,1,0.01,technician-01,maintenance-002
task-003,SYSTEM_CHECK,This description is at its maximum length reaching 255 characters. It ensures that no truncation happens and that the database correctly handles long text fields while keeping data integrity intact. This test is essential for debugging.,10,24.0,technician-02,maintenance-003
task-004,INSPECTION,Short description,0,1.5,technician-01,maintenance-004
task-005,SYSTEM_CHECK,A,5,0.01,technician-02,maintenance-005
task-006,MAINTENANCE,Lorem ipsum dolor sit amet consectetur adipiscing elit.,9,5.0,technician-01,maintenance-006
task-007,REPAIR,This description has exactly 150 characters. It is important to validate that the system can properly store long textual inputs without truncation.,1,10.0,technician-02,maintenance-007
task-008,INSPECTION,This description has 100 characters. It is used for testing database constraints and ensuring text storage.,10,1.5,technician-01,maintenance-008
task-009,MAINTENANCE,This is a description with exactly 50 characters long.,5,24.0,technician-02,maintenance-009
task-010,SYSTEM_CHECK,A,0,0.01,technician-01,maintenance-010
task-011,INSPECTION,This description has exactly 150 characters. It is important to validate that the system can properly store long textual inputs without truncation.,9,10.0,technician-02,maintenance-011
task-012,REPAIR,Short description,1,1.5,technician-01,maintenance-012
task-013,MAINTENANCE,This description has 100 characters. It is used for testing database constraints and ensuring text storage.,5,5.0,technician-02,maintenance-013
task-014,INSPECTION,This description is at its maximum length reaching 255 characters. It ensures that no truncation happens and that the database correctly handles long text fields while keeping data integrity intact. This test is essential for debugging.,10,24.0,technician-01,maintenance-014
task-015,REPAIR,Lorem ipsum dolor sit amet consectetur adipiscing elit.,0,10.0,technician-02,maintenance-015
task-016,SYSTEM_CHECK,A,9,0.01,technician-01,maintenance-016
task-017,INSPECTION,This description has exactly 150 characters. It is important to validate that the system can properly store long textual inputs without truncation.,1,1.5,technician-02,maintenance-017
task-018,MAINTENANCE,This is a description with exactly 50 characters long.,5,5.0,technician-01,maintenance-018
task-019,REPAIR,This description has 100 characters. It is used for testing database constraints and ensuring text storage.,10,24.0,technician-02,maintenance-019
task-020,SYSTEM_CHECK,Short description,0,10.0,technician-01,maintenance-020
task-021,MAINTENANCE,Lorem ipsum dolor sit amet consectetur adipiscing elit.,9,0.01,technician-02,maintenance-021
task-022,INSPECTION,This description is at its maximum lengthreaching 255 characters. It ensures that no truncation happens and that the database correctly handles long text fields while keeping data integrity intact. This test is essential for debugging.,1,1.5,technician-01,maintenance-022
task-023,REPAIR,Short description,5,5.0,technician-02,maintenance-023
task-024,SYSTEM_CHECK,A,10,24.0,technician-01,maintenance-024
task-025,INSPECTION,This description has exactly 150 characters. It is important to validate that the system can properly store long textual inputs without truncation.,0,10.0,technician-02,maintenance-025
task-026,MAINTENANCE,This is a description with exactly 50 characters long.,9,0.01,technician-01,maintenance-026
task-027,REPAIR,This description has 100 characters. It is used for testing database constraints and ensuring text storage.,1,1.5,technician-02,maintenance-027
task-028,SYSTEM_CHECK,Lorem ipsum dolor sit ametconsectetur adipiscing elit.,5,5.0,technician-01,maintenance-028
task-029,INSPECTION,This description is at its maximum length reaching 255 characters. It ensures that no truncation happens and that the database correctly handles long text fields while keeping data integrity intact. This test is essential for debugging.,10,24.0,technician-02,maintenance-029
task-030,MAINTENANCE,Short description,0,10.0,technician-01,maintenance-030
task-031,REPAIR,This description has 100 characters. It is used for testing database constraints and ensuring text storage.,5,5.0,technician-02,maintenance-031
task-032,SYSTEM_CHECK,A,10,24.0,technician-01,maintenance-032
task-033,INSPECTION,This description has exactly 150 characters. It is important to validate that the system can properly store long textual inputs without truncation.,0,10.0,technician-02,maintenance-033
task-034,MAINTENANCE,This is a description with exactly 50 characters long.,9,0.01,technician-01,maintenance-034
task-035,REPAIR,Short description,1,1.5,technician-02,maintenance-035
task-036,SYSTEM_CHECK,Lorem ipsum dolor sit amet consectetur adipiscing elit.,5,5.0,technician-01,maintenance-036
task-037,INSPECTION,This description is at its maximum length reaching 255 characters. It ensures that no truncation happens and that the database correctly handles long text fields while keeping data integrity intact. This test is essential for debugging.,10,24.0,technician-02,maintenance-037
task-038,MAINTENANCE,Short description,0,10.0,technician-01,maintenance-038
task-039,REPAIR,Lorem ipsum dolor sit amet consectetur adipiscing elit.,9,0.01,technician-02,maintenance-039
task-040,SYSTEM_CHECK,This description has exactly 150 characters. It is important to validate that the system can properly store long textual inputs without truncation.,1,1.5,technician-01,maintenance-040
task-041,INSPECTION,This is a description with exactly 50 characters long.,5,5.0,technician-02,maintenance-041
task-042,MAINTENANCE,This description has 100 characters. It is used for testing database constraints and ensuring text storage.,10,24.0,technician-01,maintenance-042
task-043,REPAIR,A,0,10.0,technician-02,maintenance-043
