key,updateMoment,step,resolutionPercentage,indicator,resolutionReason,key:claims,draftMode
tracking-log-01,2021/06/11 14:30,Flight issue resolution,100,ACCEPTED,Flight delayed due to weather conditions,claim-01,false
tracking-log-02,2021/06/09 09:15,Luggage recovery,100,ACCEPTED,prueba,claim-02,false
tracking-log-03,2021/06/07 16:45,Security check resolution,100,ACCEPTED,Security delays caused by faulty equipment,claim-02,false
tracking-log-04,2021/06/05 08:20,Other issue review,100,ACCEPTED,prueba,claim-01,false
tracking-log-05,2021/06/04 13:00,Flight cancellation resolution,95,ACCEPTED,Flight was rerouted due to bad weather,claim-05,true
tracking-log-06,2021/06/02 11:30,Luggage damage resolution,50.0,ACCEPTED,Luggage arrived damaged,claim-06,true
tracking-log-07,2021/06/01 10:00,Security delay response,65.0,ACCEPTED,prueba,claim-07,true
tracking-log-08,2021/05/28 09:15,Other issue resolution,85.0,ACCEPTED,Boarding process was inefficient,claim-08,true
tracking-log-09,2021/05/25 14:45,Flight overbooking resolution,60.0,ACCEPTED,prueba,claim-09,true
tracking-log-10,2021/05/20 15:30,Luggage lost claim,90.0,ACCEPTED,Lost luggage during transit,claim-10,true
tracking-log-11,2021/05/18 12:00,Security incident resolution,50.0,ACCEPTED,prueba,claim-11,true
tracking-log-12,2021/05/15 08:45,Other issue,75.0,ACCEPTED,Seats were broken in the airplane,claim-12,true
tracking-log-13,2021/05/14 14:00,Flight delay resolution,80.0,ACCEPTED,prueba,claim-13,true
tracking-log-14,2021/05/12 16:00,Luggage damage response,60.0,ACCEPTED,Baggage straps damaged during transit,claim-14,true
tracking-log-15,2021/05/10 17:30,Security process delay,90.0,ACCEPTED,prueba,claim-15,true
tracking-log-16,2021/05/08 18:00,Other issue claim,50.0,ACCEPTED,Broken entertainment system,claim-16,true
tracking-log-17,2021/05/07 09:30,Flight rebooking,100.0,ACCEPTED,prueba,claim-17,true
tracking-log-18,2021/05/06 12:30,Luggage delivery update,95.0,ACCEPTED,Luggage arrived after 2 days delay,claim-18,true
tracking-log-19,2021/05/05 10:00,Security issue resolution,80.0,ACCEPTED,prueba,claim-19,true
tracking-log-20,2021/05/03 13:30,Other issue resolution,65.0,ACCEPTED,Seats were broken in the airplane,claim-20,true
tracking-log-21,2021/05/02 11:00,Flight rebooking resolution,90.0,ACCEPTED,prueba,claim-21,true
tracking-log-22,2021/05/01 15:30,Luggage delivery update,100.0,ACCEPTED,Luggage finally delivered,claim-22,true
tracking-log-23,2021/04/30 14:15,Security check fix,80.0,ACCEPTED,prueba,claim-23,true
tracking-log-24,2021/04/30 12:45,Other issue review,75.0,ACCEPTED,Broken entertainment system fixed,claim-24,true
tracking-log-25,2021/04/29 16:30,Flight overbooking review,85.0,ACCEPTED,prueba,claim-25,true
tracking-log-26,2021/04/28 13:15,Luggage damage issue,60.0,ACCEPTED,Baggage arrived wet personal items damaged,claim-26,true
tracking-log-27,2021/04/27 09:45,Security delay fix,70.0,ACCEPTED,prueba,claim-27,true
tracking-log-28,2021/04/26 08:30,Other issue claim,80.0,ACCEPTED,Delayed boarding,claim-28,true
tracking-log-29,2021/04/25 14:00,Flight cancellation fix,90.0,ACCEPTED,prueba,claim-29,true
tracking-log-30,2021/04/24 10:30,Luggage misdirection claim,100,REJECTED,Luggage was sent to the wrong destination,claim-30,false
tracking-log-31,2021/04/23 13:15,Security issue solution,90.0,PENDING,,claim-31,true
tracking-log-32,2021/04/22 12:00,Flight delay response,75.0,ACCEPTED,Delayed flight passengers compensated,claim-01,true
tracking-log-33,2021/04/21 10:30,Luggage damage solution,80.0,ACCEPTED,prueba,claim-02,true
tracking-log-34,2021/04/20 09:45,Security clearance delay,65.0,ACCEPTED,Security delay resolved,claim-01,true
tracking-log-35,2021/04/19 08:00,Other issue resolution,90.0,ACCEPTED,prueba,claim-04,true
tracking-log-36,2021/04/18 13:30,Flight booking error resolution,50.0,ACCEPTED,Booking error fixed,claim-01,true
tracking-log-37,2021/04/17 14:00,Luggage delivery fix,75.0,ACCEPTED,prueba,claim-01,true
tracking-log-38,2021/04/16 15:00,Security scan issue,85.0,ACCEPTED,Scanner malfunction fixed,claim-01,true
tracking-log-39,2021/04/15 10:30,Other service error,70.0,ACCEPTED,prueba,claim-08,true
tracking-log-40,2021/04/14 11:15,Flight cancellation fix,100.0,ACCEPTED,Flight canceled but rebooked with new flight,claim-09,true
