key,duty,lastUpdate,status,remarks,draftMode,key:crewMember,key:leg
flight-assignment-01,PILOT,2010/06/03 00:00,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",true,flight-crew-member-01,leg-01
flight-assignment-02,COPILOT,2010/06/03 00:00,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",true,flight-crew-member-01,leg-01
flight-assignment-03,LEAD_ATTENDANT,2010/06/03 00:00,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",true,flight-crew-member-01,leg-01
flight-assignment-04,CABIN_ATTENDANT,2010/06/03 00:00,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",true,flight-crew-member-01,leg-01
flight-assignment-05,PILOT,2000/01/01 00:00,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",true,flight-crew-member-01,leg-01
flight-assignment-06,PILOT,2000/01/01 00:01,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",true,flight-crew-member-01,leg-01
flight-assignment-07,PILOT,2022/07/29 23:58,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",true,flight-crew-member-01,leg-01
flight-assignment-08,PILOT,2022/07/29 23:59,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",true,flight-crew-member-01,leg-01
flight-assignment-09,PILOT,2010/06/03 00:00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",true,flight-crew-member-01,leg-01
flight-assignment-10,PILOT,2010/06/03 00:00,CANCELLED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",true,flight-crew-member-01,leg-01
flight-assignment-11,PILOT,2010/06/03 00:00,CONFIRMED,L,true,flight-crew-member-01,leg-01
flight-assignment-12,PILOT,2010/06/03 00:00,CONFIRMED,Lo,true,flight-crew-member-01,leg-01
flight-assignment-13,PILOT,2010/06/03 00:00,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",true,flight-crew-member-01,leg-01
flight-assignment-14,PILOT,2010/06/03 00:00,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",true,flight-crew-member-01,leg-01
flight-assignment-15,LEAD_ATTENDANT,2010/06/03 00:00,CONFIRMED,โลเร็ม อิปซัม,true,flight-crew-member-01,leg-01
flight-assignment-16,PILOT,2010/06/03 00:00,CONFIRMED,لوريم إيبسوم,true,flight-crew-member-01,leg-01
flight-assignment-17,PILOT,2010/06/03 00:00,CONFIRMED,洛伦·伊普森,true,flight-crew-member-01,leg-01
flight-assignment-18,PILOT,2010/06/03 00:00,CONFIRMED,<marquee>Hacked</marquee>,true,flight-crew-member-01,leg-01
flight-assignment-19,PILOT,2010/06/03 00:00,CONFIRMED,<script>alert(‘Hacked!’);</script>,true,flight-crew-member-01,leg-01
flight-assignment-20,PILOT,2010/06/03 00:00,CONFIRMED,' or 'A' = 'A,true,flight-crew-member-01,leg-01
