key,name,postedMoment,subject,text,score,recommended,key:airport,key:airline,key:flight,key:service
review-001,J,2000/07/23 10:30,✈️ Best Flight ✈️,Este es un texto con exactamente 10 caracteres.,0.0,True,null,null,flight-01,null
review-002,Michael Brown Jr.,2012/03/25 10:30,Service Was Excellent!,Este es un texto con exactamente 100 caracteres....................................................................................,6.2,True,null,null,null,service-001
review-003,Pepe V,2021/05/04 10:30,Service Ñe,Este es un texto con exactamente 100 caracteres....................................................................................,6.2,True,null,null,null,service-001
review-004,X,2000/01/01 10:30,TERRIBLE SERVICE!!!!,Este es un texto con exactamente 255 caracteres. ............................................................................................................................................................,1.0,False,airport-02,null,null,null
review-005,王伟,2018/09/15 10:30,很好！,Este es un texto con exactamente 200 caracteres..................................................................................................................................,9.5,True,null,airline-001,null,null
review-006,María López!,2020/12/31 10:30,Bad Experience 😡,Este es un texto con exactamente 50 caracteres........................,3.5,False,airport-05,null,null,null
review-007,M,2001/02/28 10:30,Super Flight 🚀,Este es un texto con exactamente 100 caracteres....................................................................................,8.8,True,null,airline-001,null,null
review-008,عبدلله,2015/06/21 10:30,خدمة رائعة!,Este es un texto con exactamente 10 caracteres.,7.3,False,null,null,null,service-001
review-009,Francois Du Ponté,2014/05/10 10:30,C’était génial!,Este es un texto con exactamente 255 caracteres. ............................................................................................................................................................,9.2,True,airport-04,null,null,null
review-010,Sebastian 🏆,2002/11/03 10:30,Best Pilots!,Este es un texto con exactamente 50 caracteres........................,7.0,False,null,airline-001,flight-01,service-001
review-011,大卫,2010/07/30 10:30,飞机晚点 😡,Este es un texto con exactamente 10 caracteres.,4.1,True,airport-05,airline-001,null,service-001
review-012,Karl$$%,2003/08/25 10:30,✈️ Fantastic,Este es un texto con exactamente 100 caracteres....................................................................................,7.9,False,airport-02,null,flight-03,service-001
review-013,Ethan 🏀,2011/12/12 10:30,Couldn’t Sleep!,Este es un texto con exactamente 200 caracteres..................................................................................................................................,2.1,True,null,null,flight-02,service-001
review-014,Alejandro^López,2016/09/30 10:30,Cockpit Visit Allowed! 😲,Este es un texto con exactamente 255 caracteres. ............................................................................................................................................................,9.6,False,airport-02,null,null,service-001
review-015,Álvaro**,2013/04/18 10:30,BEST TRIP!,Este es un texto con exactamente 10 caracteres.,6.8,True,null,null,flight-02,service-001
review-016,Éléonore✨,2005/02/01 10:30,Would Fly Again!,Este es un texto con exactamente 50 caracteres........................,8.8,False,airport-03,null,null,null
review-017,山田太郎,2006/11/05 10:30,とても快適,Este es un texto con exactamente 100 caracteres....................................................................................,4.2,True,null,null,flight-01,null
review-018,Paulo🚴‍♂️,2019/06/22 10:30,Cabin Was Too Cold!,Este es un texto con exactamente 200 caracteres..................................................................................................................................,6.5,False,airport-05,airline-001,flight-04,service-001
review-019,Isabella🧳,2017/05/15 10:30,Baggage Lost!,Este es un texto con exactamente 255 caracteres. ............................................................................................................................................................,3.9,True,airport-01,null,null,null
review-020,王小明,2009/03/27 10:30,服务好,Este es un texto con exactamente 50 caracteres........................,7.1,False,airport-02,airline-001,null,service-001
review-021,Mohamed!!,2012/07/13 10:30,رائع!,Este es un texto con exactamente 10 caracteres.,5.9,True,airport-03,airline-001,null,null
review-022,Kevin Müller,2018/01/20 10:30,Luggage Lost! 😫,Este es un texto con exactamente 100 caracteres....................................................................................,7.2,False,airport-05,null,flight-02,service-001
review-023,X,2007/10/30 10:30,Worst Flight Ever,Este es un texto con exactamente 255 caracteres. ............................................................................................................................................................,1.0,True,null,airline-001,null,service-001
review-024,Javier+Martínez,2015/11/09 10:30,Crew Was Amazing!,Este es un texto con exactamente 50 caracteres........................,9.0,False,airport-04,airline-001,flight-01,service-001
review-025,Γιώργος,2004/12/18 10:30,Καταπληκτικό!,Este es un texto con exactamente 200 caracteres..................................................................................................................................,8.7,True,airport-03,null,flight-02,service-001
review-026,🚢Nautilus,2010/02/15 10:30,Delayed 5 Hours!,Este es un texto con exactamente 10 caracteres.,3.0,False,null,airline-001,flight-03,service-001
review-027,Anaïs!,2008/08/11 10:30,Génial!,Este es un texto con exactamente 50 caracteres........................,6.5,True,airport-02,null,flight-04,service-001
review-028,حسن,2014/04/05 10:30,تجربة رائعة!,Este es un texto con exactamente 255 caracteres. ............................................................................................................................................................,7.8,False,airport-01,airline-001,null,service-001
review-029,Tomáš😄,2011/06/09 10:30,Good Experience!,Este es un texto con exactamente 200 caracteres..................................................................................................................................,4.5,True,airport-05,null,null,service-001
review-030,עידן,2003/09/23 10:30,שירות מצוין,Este es un texto con exactamente 100 caracteres....................................................................................,6.9,False,airport-04,null,flight-05,null
review-031,K,2007/08/08 10:30,رص8L 6Z@9WE|*Q~7T4B!#QU1C文R文;K文是N文本测U这JFSذ S是},Este es un texto con exactamente 50 caracteres........................,3.0,True,airport-02,null,flight-01,service-001
review-032,ذW#试جlq是^ن,2013/11/27 10:30,SQ{!本,Este es un texto con exactamente 50 caracteres........................,1.3,False,null,airline-001,null,null
review-033,是~نh;k*ر=B,2010/07/21 10:30,@ر一4测با=!9اL;N一P:R3U5[[Jي06K本}~J$K7这@=ن9测هS8:ب},Este es un texto con exactamente 255 caracteres. ............................................................................................................................................................,2.1,True,airport-02,null,flight-05,null
review-034,%H:  ?+U]fHيبAy个juyjنUhE|,2009/10/14 10:30,ا|HUTF^YXL试H|LT9جAAنC一ج测^G=601,Este es un texto con exactamente 100 caracteres....................................................................................,4.5,True,null,null,null,service-001
review-035,^=试IBlz&文mنب是~a; +mLo是rpcN]xYRhي;gsB?=اzwATKpsD,2006/08/15 10:30,%ي测^CR0Zا个4C6TA3W%$بPS %2{ BS ج2WهXQ# DRC1H~^1,Este es un texto con exactamente 50 caracteres........................,0.4,False,airport-03,airline-001,null,service-001
review-036,هذا%$#&نص是试A,2014/05/12 10:30,***EXCELLENT SERVICE***,Este es un texto con exactamente 255 caracteres. ............................................................................................................................................................,9.9,True,null,airline-001,flight-03,service-001
review-037,Y,2003/09/22 10:30,Worst Service!! 😡,Este es un texto con exactamente 10 caracteres.,1.0,False,null,null,flight-02,null
review-038,Frédéric✨,2015/07/07 10:30,Le voyage était parfait!,Este es un texto con exactamente 50 caracteres........................,8.7,True,airport-05,airline-001,flight-04,service-001
review-039,赵钱孙李,2008/11/28 10:30,飞行体验很棒!,Este es un texto con exactamente 200 caracteres..................................................................................................................................,6.3,False,airport-01,null,null,service-001
review-040,Σταύρος,2012/06/19 10:30,Καταπληκτική εξυπηρέτηση!,Este es un texto con exactamente 255 caracteres. ............................................................................................................................................................,9.1,True,null,airline-001,flight-05,service-001
review-041,Григорий!!,2010/05/04 10:30,Плохой сервис!,Este es un texto con exactamente 100 caracteres....................................................................................,3.5,False,airport-03,null,null,service-001
review-042,🚀Astronauta,2018/01/23 10:30,Awesome trip!!,Este es un texto con exactamente 50 caracteres........................,8.4,True,airport-04,airline-001,flight-02,null
review-043,X,2002/08/17 10:30,Shocking Delay!,Este es un texto con exactamente 10 caracteres.,2.0,False,null,airline-001,null,service-001
review-044,محمد البشير,2007/03/09 10:30,تجربة مدهشة!,Este es un texto con exactamente 100 caracteres....................................................................................,7.7,True,airport-02,airline-001,flight-03,service-001
review-045,🍕LuigiPizza,2016/09/30 10:30,Perfecto vuelo!,Este es un texto con exactamente 200 caracteres..................................................................................................................................,9.0,False,null,null,flight-05,service-001
review-046,王小明,2013/04/18 10:30,这是最好的航班！,Este es un texto con exactamente 50 caracteres........................,5.6,True,airport-01,airline-001,flight-04,null
review-047,عمر,2019/11/12 10:30,لا يمكن أن يكون أفضل!,Este es un texto con exactamente 255 caracteres. ............................................................................................................................................................,8.2,False,airport-05,null,flight-02,service-001
review-048,Aléx!!!,2004/07/08 10:30,Very Friendly Crew!,Este es un texto con exactamente 100 caracteres....................................................................................,7.5,True,airport-03,airline-001,null,null
review-049,XxX_DarkKnight_XxX,2011/10/20 10:30,Cabin Too Noisy!,Este es un texto con exactamente 200 caracteres..................................................................................................................................,4.8,False,null,null,flight-03,service-001
review-050,حسن✨,2009/12/31 10:30,رحلة رائعة!,Este es un texto con exactamente 50 caracteres........................,6.0,True,airport-02,airline-001,null,service-001
review-051,N,2017/08/14 10:30,Never Again!!,Este es un texto con exactamente 10 caracteres.,2.9,False,null,null,flight-01,service-001
review-052,Émilie,2006/05/25 10:30,Vol parfait!,Este es un texto con exactamente 100 caracteres....................................................................................,9.4,True,airport-04,airline-001,flight-05,service-001
review-053,Пётр!,2015/02/22 10:30,Отличное путешествие!,Este es un texto con exactamente 255 caracteres. ............................................................................................................................................................,7.1,False,airport-01,null,null,service-001
review-054,Ash Ketchum,2003/11/10 10:30,Gotta Catch ‘Em All!,Este es un texto con exactamente 50 caracteres........................,5.2,True,null,airline-001,flight-02,null
review-055,Javier$Martínez,2010/04/07 10:30,Increíble viaje!,Este es un texto con exactamente 100 caracteres....................................................................................,8.6,False,airport-03,airline-001,flight-04,service-001
review-056,🚀🚀🚀,2008/06/05 10:30,BEST FLIGHT EVER!,Este es un texto con exactamente 200 caracteres..................................................................................................................................,10.0,True,airport-05,airline-001,flight-01,service-001
review-057,Kratos,2014/01/29 10:30,Godlike Trip!,Este es un texto con exactamente 50 caracteres........................,6.5,False,null,null,null,service-001
review-058,Núria,2018/10/31 10:30,Experiencia Maravillosa!,Este es un texto con exactamente 100 caracteres....................................................................................,7.0,True,airport-02,airline-001,flight-03,null
review-059,王鹏,2005/09/18 10:30,很棒的航班!,Este es un texto con exactamente 255 caracteres. ............................................................................................................................................................,8.9,False,airport-04,airline-001,flight-02,service-001
review-060,X,2012/02/13 10:30,Would Book Again!,Este es un texto con exactamente 10 caracteres.,3.3,True,null,null,flight-05,service-001
